year_week,count,topic,date,smoothed
2022-41,1,-1,2022-10-10 00:00:00+00:00,1.0
2022-42,3,-1,2022-10-17 00:00:00+00:00,2.0
2022-43,2,-1,2022-10-24 00:00:00+00:00,2.0
2022-44,1,-1,2022-10-31 00:00:00+00:00,1.75
2022-45,5,-1,2022-11-07 00:00:00+00:00,2.75
2022-48,1,-1,2022-11-28 00:00:00+00:00,2.25
2022-50,3,-1,2022-12-12 00:00:00+00:00,2.5
2022-51,2,-1,2022-12-19 00:00:00+00:00,2.75
2022-52,1,-1,2022-12-26 00:00:00+00:00,1.75
2023-01,2,-1,2023-01-02 00:00:00+00:00,2.0
2023-02,1,-1,2023-01-09 00:00:00+00:00,1.5
2023-04,1,-1,2023-01-23 00:00:00+00:00,1.25
2023-05,3,-1,2023-01-30 00:00:00+00:00,1.75
2023-07,3,-1,2023-02-13 00:00:00+00:00,2.0
2023-10,1,-1,2023-03-06 00:00:00+00:00,2.0
2023-11,2,-1,2023-03-13 00:00:00+00:00,2.25
2023-12,1,-1,2023-03-20 00:00:00+00:00,1.75
2023-13,6,-1,2023-03-27 00:00:00+00:00,2.5
2023-14,2,-1,2023-04-03 00:00:00+00:00,2.75
2023-15,1,-1,2023-04-10 00:00:00+00:00,2.5
2023-18,3,-1,2023-05-01 00:00:00+00:00,3.0
2023-19,3,-1,2023-05-08 00:00:00+00:00,2.25
2023-20,2,-1,2023-05-15 00:00:00+00:00,2.25
2023-22,1,-1,2023-05-29 00:00:00+00:00,2.25
2023-24,3,-1,2023-06-12 00:00:00+00:00,2.25
2023-25,1,-1,2023-06-19 00:00:00+00:00,1.75
2023-26,1,-1,2023-06-26 00:00:00+00:00,1.5
2023-27,2,-1,2023-07-03 00:00:00+00:00,1.75
2023-28,2,-1,2023-07-10 00:00:00+00:00,1.5
2023-29,5,-1,2023-07-17 00:00:00+00:00,2.5
2023-30,5,-1,2023-07-24 00:00:00+00:00,3.5
2023-31,2,-1,2023-07-31 00:00:00+00:00,3.5
2023-35,2,-1,2023-08-28 00:00:00+00:00,3.5
2023-36,5,-1,2023-09-04 00:00:00+00:00,3.5
2023-37,1,-1,2023-09-11 00:00:00+00:00,2.5
2023-38,3,-1,2023-09-18 00:00:00+00:00,2.75
2023-39,1,-1,2023-09-25 00:00:00+00:00,2.5
2023-40,2,-1,2023-10-02 00:00:00+00:00,1.75
2023-41,2,-1,2023-10-09 00:00:00+00:00,2.0
2023-42,2,-1,2023-10-16 00:00:00+00:00,1.75
2023-43,1,-1,2023-10-23 00:00:00+00:00,1.75
2023-44,2,-1,2023-10-30 00:00:00+00:00,1.75
2023-45,1,-1,2023-11-06 00:00:00+00:00,1.5
2023-46,3,-1,2023-11-13 00:00:00+00:00,1.75
2023-49,3,-1,2023-12-04 00:00:00+00:00,2.25
2023-50,1,-1,2023-12-11 00:00:00+00:00,2.0
2023-51,3,-1,2023-12-18 00:00:00+00:00,2.5
2024-02,6,-1,2024-01-08 00:00:00+00:00,3.25
2024-03,1,-1,2024-01-15 00:00:00+00:00,2.75
2024-05,1,-1,2024-01-29 00:00:00+00:00,2.75
2024-06,2,-1,2024-02-05 00:00:00+00:00,2.5
2024-07,2,-1,2024-02-12 00:00:00+00:00,1.5
2024-08,4,-1,2024-02-19 00:00:00+00:00,2.25
2024-09,1,-1,2024-02-26 00:00:00+00:00,2.25
2024-10,1,-1,2024-03-04 00:00:00+00:00,2.0
2024-11,4,-1,2024-03-11 00:00:00+00:00,2.5
2024-12,5,-1,2024-03-18 00:00:00+00:00,2.75
2024-13,7,-1,2024-03-25 00:00:00+00:00,4.25
2024-15,8,-1,2024-04-08 00:00:00+00:00,6.0
2024-16,2,-1,2024-04-15 00:00:00+00:00,5.5
2024-17,1,-1,2024-04-22 00:00:00+00:00,4.5
2024-18,1,-1,2024-04-29 00:00:00+00:00,3.0
2024-19,3,-1,2024-05-06 00:00:00+00:00,1.75
2024-20,2,-1,2024-05-13 00:00:00+00:00,1.75
2024-21,4,-1,2024-05-20 00:00:00+00:00,2.5
2024-22,1,-1,2024-05-27 00:00:00+00:00,2.5
2024-23,1,-1,2024-06-03 00:00:00+00:00,2.0
2024-24,7,-1,2024-06-10 00:00:00+00:00,3.25
2024-25,1,-1,2024-06-17 00:00:00+00:00,2.5
2024-26,3,-1,2024-06-24 00:00:00+00:00,3.0
2024-27,8,-1,2024-07-01 00:00:00+00:00,4.75
2024-28,4,-1,2024-07-08 00:00:00+00:00,4.0
2024-29,2,-1,2024-07-15 00:00:00+00:00,4.25
2024-30,9,-1,2024-07-22 00:00:00+00:00,5.75
2024-31,1,-1,2024-07-29 00:00:00+00:00,4.0
2024-32,6,-1,2024-08-05 00:00:00+00:00,4.5
2024-33,6,-1,2024-08-12 00:00:00+00:00,5.5
2024-35,7,-1,2024-08-26 00:00:00+00:00,5.0
